price,title,upc
17.46,Set Me Free,ce6396b0f23f6ecc
23.88,Olio,feb7cc7701ecf901
37.59,Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190
51.33,Libertarianism for Beginners,a18a4f574854aced
52.29,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6
57.25,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83
35.02,Rip it Up and Start Again,a34ba96d4081e6a4
45.17,It's Only the Himalayas,a22124811bfa8350
20.66,Shakespeare's Sonnets,30a7f60cd76ca58c
13.99,"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40
17.93,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2
22.6,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a
22.65,The Requiem Red,f77dbf2323deb740
33.34,The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b
54.23,Sapiens: A Brief History of Humankind,4165285e1663650f
52.15,The Black Maria,1dfe412b8ac00530
33.63,You can't bury them all: Poems,55f9da0c5eea2e10
52.22,Behind Closed Doors,be5cc846f45496fb
19.63,"In a Dark, Dark Wood",19ed25f4641d5efd
33.29,Penny Maybe,668fe56b17cfcd4f
18.02,Maude (1883-1993):She Grew Up with the country,094b269567e1c300
15.94,Sophie's World,6be3beb0793a53e7
36.89,The Bear and the Piano,9f6568e9c95f60b0
31.05,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf
17.66,The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50
23.82,The Elephant Tree,5dada2b7be26bd03
22.5,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,c7d160c2c0de586f
44.18,Wall and Piece,ccd9ffa25efabdea
40.3,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,4c28def39d850cdf
53.13,Aladdin and His Wonderful Lamp,904208d6aa64b655
54.64,Birdsong: A Story in Pictures,9528d0948525bf5f
45.22,The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691
56.5,The Past Never Ends,5ee94540d0749ea0
56.41,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d
17.27,Thirst,709822d0b5bcb7f4
19.09,The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf
19.49,This One Summer,51653ef291ab7ddc
56.13,The Secret of Dreadwillow Carse,b5ea0b5dabed25a8
31.12,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c
16.28,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253
25.52,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e
44.18,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e
18.78,Unicorn Tracks,7ae099f3898e0209
50.27,"We Love You, Charlie Freeman",8d455c7539795d2a
14.27,Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767
31.77,When We Collided,3ecb690d1542c568
45.07,Without Borders (Wanderlove #1),acddfeab2a407640
47.61,Private Paris (Private #10),b12b89017878a60d
23.11,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383
34.53,Black Dust,00bfed9e18bb36f3
26.41,Reasons to Stay Alive,c8f7f0cb1abb9cac
57.31,Slow States of Collapse: Poems,b4fd5943413e089a
25.27,Chase Me (Paris Nights #2),c2e46a2ee3b4a322
30.52,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",5674a18a29a43ced
37.32,How Music Works,327f68a59745c102
47.82,Sharp Objects,e00eb4fd7b871a48
12.84,In Her Wake,23356462d1320d61
50.1,Soumission,6957f44c3847a760
53.74,Tipping the Velvet,90fa61229261140a
51.77,A Light in the Attic,a897fe39b1053632
50.4,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",c82a3e358c773c73
19.83,Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6
25.02,"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742
51.04,"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b
41.83,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b
39.58,Soul Reader,e6af5bf1163c1151
39.25,Security,6f78a0d744c35456
32.24,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b
40.76,The Art Forger,80cfab6bcff3a244
19.73,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9
49.05,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559
58.11,The Death of Humanity: and the Case for Life,bd261725b99f5983
37.13,The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0
20.59,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d
56.06,The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c
16.77,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0
42.96,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3
23.89,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7
54.11,The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2
38.16,The Nameless City (The Nameless City #1),7d385d34d12e60ff
22.0,In the Country We Love: My Family Divided,b136b1b180ca753a
35.67,Join,18ad3ed896c7ce05
53.9,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),228f74b74f3a08ae
19.92,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),57e5a4d515c8ce44
40.11,"Layered: Baking, Building, and Styling Spectacular Cakes",7b75cc7f223791f4
45.61,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",b6ee99bcf06fc91f
46.91,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",460089f796fb3f82
14.02,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",72f9d5be3472d34e
56.4,Masks and Shadows,fa9610a50a1bf149
33.37,My Paris Kitchen: Recipes and Stories,784bc2279baa878d
14.86,Obsidian (Lux #1),3c346ab1e76ae1f6
14.07,On a Midnight Clear,b757c0c361e689ce
46.35,Online Marketing for Busy Authors: A Step-By-Step Guide,9ffa38d3b832433a
48.41,orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057
15.44,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36
10.16,Patience,9429b4d59c537af5
36.28,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816
18.97,"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe
13.34,Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09
13.61,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a
49.46,Bossypants,74baabfc8fd84b38
37.92,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",bdf415fd484ea8a7
28.81,Burning,5ceb951f629700a2
28.09,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",6d5300b2d8f37e07
29.14,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,bee3672891cca906
17.08,Camp Midnight,7b599c8bfcdd8d30
36.72,"Codename Baboushka, Volume 1: The Conclave of Death",8754c83ab2a7ae71
43.29,Crown of Midnight (Throne of Glass #2),7267864328ae8b9d
51.99,Danganronpa Volume 1,09b6cc87e62c2c58
37.97,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",fce19f9b4a943f22
54.35,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,311c0dd0e354a33e
21.96,Fifty Shades Darker (Fifty Shades #2),7add3f8e49ec0826
15.97,First and First (Five Boroughs #3),9e28048cea8d41f7
29.69,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,9beb96a2300109d7
22.11,"Giant Days, Vol. 2 (Giant Days #5-8)",f2df3bb043a8abb0
46.03,How to Be Miserable: 40 Strategies You Already Use,a6f99b9e687f9d46
33.97,Her Backup Boyfriend (The Sorensen Family #1),2a97cffe61c3c4c7
54.63,I am a Hero Omnibus Volume 1,1c89ae5bb804e4de
29.17,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",8d4eefad7a2b3915
57.36,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,e4f74c16de34d440
